Data_Simulacao,Backlog_Atual,P50_Dias,P85_Dias,P95_Dias
2026-05-19 09:52:47,TIPO: UTSK,3,3,3,3
2026-05-19 09:52:47,TIPO: IMP,9,9,9,9
2026-05-19 09:52:48,TIPO: STK,35,16,21,23
2026-05-19 09:52:48,TIPO: RSCH,3,2,3,3
2026-05-19 09:58:42,TIPO: INI,581,161,175,183
2026-05-19 09:58:46,TIPO: EPC,274,128,145,155
2026-05-19 09:58:49,TIPO: UST,586,107,116,121
2026-05-19 09:58:49,TIPO: BUG,19,11,16,18
2026-05-19 09:58:50,TIPO: OPS,95,27,31,33
2026-05-19 09:58:51,TIPO: TST,59,20,25,28
2026-05-19 09:58:51,TIPO: UTSK,3,3,3,3
2026-05-19 09:58:51,TIPO: IMP,9,9,9,9
2026-05-19 09:58:52,TIPO: STK,35,16,21,23
2026-05-19 09:58:52,TIPO: RSCH,3,2,3,3
2026-05-19 10:00:26,TIPO: INI,581,161,175,183
2026-05-19 10:00:31,TIPO: EPC,274,128,145,154
2026-05-19 10:00:35,TIPO: UST,586,107,116,121
2026-05-19 10:00:35,TIPO: BUG,19,11,16,18
2026-05-19 10:00:36,TIPO: OPS,95,27,31,33
2026-05-19 10:00:37,TIPO: TST,59,20,25,29
2026-05-19 10:00:37,TIPO: UTSK,3,3,3,3
2026-05-19 10:00:37,TIPO: IMP,9,9,9,9
2026-05-19 10:00:38,TIPO: STK,35,16,21,23
2026-05-19 10:00:38,TIPO: RSCH,3,2,3,3
2026-05-19 10:18:00,TIPO: EPC,618,288,313,327
2026-05-19 10:18:22,TIPO: INI,1518,421,443,457
2026-05-19 10:18:23,TIPO: BUG,67,28,38,49
2026-05-19 10:18:33,TIPO: UST,999,183,194,200
2026-05-19 10:18:39,TIPO: OPS,416,115,123,128
2026-05-19 10:18:48,TIPO: TST,600,200,215,224
2026-05-19 10:18:59,TIPO: STK,436,189,206,216
2026-05-19 10:19:09,TIPO: IMP,174,174,174,174
2026-05-19 10:19:11,TIPO: RSCH,50,20,25,28
2026-05-19 10:19:14,TIPO: UTSK,59,59,59,59
2026-05-19 10:19:43,LANE: Lane não identificada,5000,550,572,585
2026-05-19 10:28:22,TIPO: INI,581,161,175,184
2026-05-19 10:28:26,TIPO: EPC,274,128,145,154
2026-05-19 10:28:30,TIPO: UST,586,108,116,121
2026-05-19 10:28:31,TIPO: BUG,19,11,16,18
2026-05-19 10:28:32,TIPO: OPS,95,27,31,33
2026-05-19 10:28:33,TIPO: TST,59,20,25,29
2026-05-19 10:28:33,TIPO: UTSK,3,3,3,3
2026-05-19 10:28:33,TIPO: IMP,9,9,9,9
2026-05-19 10:28:34,TIPO: STK,35,16,21,23
2026-05-19 10:28:34,TIPO: RSCH,3,2,3,3
2026-05-19 10:28:40,LANE: Sem Lane,1665,183,196,204
2026-05-19 14:30:46,TIPO: INI,581,161,175,183
2026-05-19 14:30:52,TIPO: EPC,274,128,145,155
2026-05-19 14:30:57,TIPO: UST,586,107,116,121
2026-05-19 14:30:57,TIPO: BUG,19,11,16,18
2026-05-19 14:30:58,TIPO: OPS,95,27,31,33
2026-05-19 14:30:59,TIPO: TST,59,20,25,28
2026-05-19 14:30:59,TIPO: UTSK,3,3,3,3
2026-05-19 14:31:00,TIPO: IMP,9,9,9,9
2026-05-19 14:31:00,TIPO: STK,35,16,21,23
2026-05-19 14:31:00,TIPO: RSCH,3,2,3,3
